acc_test,acc_val,attack_succ_test_eps0.05,attack_succ_test_eps0.08,attack_succ_test_eps0.1,attack_succ_test_eps0.2,attack_succ_val_eps0.05,attack_succ_val_eps0.08,attack_succ_val_eps0.1,attack_succ_val_eps0.2,candidate,cfg_model,dataset,model_kwargs
0.915,0.922,0.205,0.49,0.695,0.87,0.245,0.57,0.745,0.94,minicnn_feat128_reg,"{""activation"": ""relu"", ""batch_size"": 64, ""epochs"": 10, ""hidden_dims"": [64, 32], ""input_dim"": 2, ""learning_rate"": 0.001, ""output_dim"": 10, ""random_state"": 42, ""weight_decay"": 0.0001}",mnist,"{""feat_dim"": 128, ""in_channels"": 1, ""num_classes"": 10, ""output_dim"": 10}"
0.951,0.942,0.23,0.46,0.69,0.925,0.18,0.425,0.68,0.935,minicnn_feat128_reg_20ep,"{""activation"": ""relu"", ""batch_size"": 64, ""epochs"": 20, ""hidden_dims"": [64, 32], ""input_dim"": 2, ""learning_rate"": 0.001, ""output_dim"": 10, ""random_state"": 42, ""weight_decay"": 0.0001}",mnist,"{""feat_dim"": 128, ""in_channels"": 1, ""num_classes"": 10, ""output_dim"": 10}"
