H,condition,distance,layer,metric,sample_id
1,permutation_seed=0,0.0,pooled,wasserstein,0
0,permutation_seed=1,12.319224941614591,conv1,wasserstein,0
1,permutation_seed=1,12.030144574279111,conv1,wasserstein,0
0,permutation_seed=1,21.46114331483841,conv2,wasserstein,0
1,permutation_seed=1,10.868864333533066,conv2,wasserstein,0
0,permutation_seed=1,39.03492374246348,conv3,wasserstein,0
1,permutation_seed=1,10.005043515240429,conv3,wasserstein,0
0,permutation_seed=1,0.0,pooled,wasserstein,0
1,permutation_seed=1,0.0,pooled,wasserstein,0
0,permutation_seed=2,7.7235206216573715,conv1,wasserstein,0
1,permutation_seed=2,8.662476826055585,conv1,wasserstein,0
0,permutation_seed=2,18.975222431123257,conv2,wasserstein,0
1,permutation_seed=2,12.159911665941625,conv2,wasserstein,0
0,permutation_seed=2,19.633639506995678,conv3,wasserstein,0
1,permutation_seed=2,12.085398048219798,conv3,wasserstein,0
0,permutation_seed=2,0.0,pooled,wasserstein,0
1,permutation_seed=2,0.0,pooled,wasserstein,0
0,permutation_seed=3,7.334726348519325,conv1,wasserstein,0
1,permutation_seed=3,8.961607935933051,conv1,wasserstein,0
0,permutation_seed=3,19.713024352046162,conv2,wasserstein,0
1,permutation_seed=3,13.085071056105868,conv2,wasserstein,0
0,permutation_seed=3,25.19463142785269,conv3,wasserstein,0
1,permutation_seed=3,8.864494605641509,conv3,wasserstein,0
0,permutation_seed=3,0.0,pooled,wasserstein,0
1,permutation_seed=3,0.0,pooled,wasserstein,0
0,permutation_seed=4,10.40213768184185,conv1,wasserstein,0
1,permutation_seed=4,10.942777519834518,conv1,wasserstein,0
0,permutation_seed=4,20.860740152164233,conv2,wasserstein,0
1,permutation_seed=4,11.2183521784164,conv2,wasserstein,0
0,permutation_seed=4,35.393843069672585,conv3,wasserstein,0
1,permutation_seed=4,12.095685502828168,conv3,wasserstein,0
0,permutation_seed=4,0.0,pooled,wasserstein,0
1,permutation_seed=4,0.0,pooled,wasserstein,0
0,permutation_seed=5,14.804262429475784,conv1,wasserstein,0
1,permutation_seed=5,11.246875752906902,conv1,wasserstein,0
0,permutation_seed=5,17.74978499415819,conv2,wasserstein,0
1,permutation_seed=5,11.654329266223456,conv2,wasserstein,0
0,permutation_seed=5,31.18197476863861,conv3,wasserstein,0
1,permutation_seed=5,11.07258031045166,conv3,wasserstein,0
0,permutation_seed=5,0.0,pooled,wasserstein,0
1,permutation_seed=5,0.0,pooled,wasserstein,0
0,permutation_seed=6,7.8988508731126785,conv1,wasserstein,0
1,permutation_seed=6,8.550380460772583,conv1,wasserstein,0
0,permutation_seed=6,11.535572364926338,conv2,wasserstein,0
1,permutation_seed=6,12.109754772669701,conv2,wasserstein,0
0,permutation_seed=6,21.140138521790504,conv3,wasserstein,0
1,permutation_seed=6,12.714015468832097,conv3,wasserstein,0
0,permutation_seed=6,0.0,pooled,wasserstein,0
1,permutation_seed=6,0.0,pooled,wasserstein,0
0,permutation_seed=7,9.206284321844578,conv1,wasserstein,0
1,permutation_seed=7,8.29125894329266,conv1,wasserstein,0
0,permutation_seed=7,14.31877313554287,conv2,wasserstein,0
1,permutation_seed=7,10.429315969181031,conv2,wasserstein,0
0,permutation_seed=7,20.12657131254673,conv3,wasserstein,0
1,permutation_seed=7,12.335580722922273,conv3,wasserstein,0
0,permutation_seed=7,0.0,pooled,wasserstein,0
1,permutation_seed=7,0.0,pooled,wasserstein,0
0,permutation_seed=8,14.626237169075846,conv1,wasserstein,0
1,permutation_seed=8,9.16422061838129,conv1,wasserstein,0
0,permutation_seed=8,12.902065448462963,conv2,wasserstein,0
1,permutation_seed=8,12.36045893078156,conv2,wasserstein,0
0,permutation_seed=8,38.60737906305712,conv3,wasserstein,0
1,permutation_seed=8,11.607833647830747,conv3,wasserstein,0
0,permutation_seed=8,0.0,pooled,wasserstein,0
1,permutation_seed=8,0.0,pooled,wasserstein,0
0,permutation_seed=9,10.400414146764543,conv1,wasserstein,0
1,permutation_seed=9,7.976032107834387,conv1,wasserstein,0
0,permutation_seed=9,11.501454934477806,conv2,wasserstein,0
1,permutation_seed=9,16.036352430521287,conv2,wasserstein,0
0,permutation_seed=9,26.46442573517561,conv3,wasserstein,0
1,permutation_seed=9,10.24961222460574,conv3,wasserstein,0
0,permutation_seed=9,0.0,pooled,wasserstein,0
1,permutation_seed=9,0.0,pooled,wasserstein,0
0,permutation_seed=10,8.432878630861527,conv1,wasserstein,0
1,permutation_seed=10,9.351589780706087,conv1,wasserstein,0
0,permutation_seed=10,27.662883549774772,conv2,wasserstein,0
1,permutation_seed=10,10.867904941507604,conv2,wasserstein,0
0,permutation_seed=10,26.23478322346261,conv3,wasserstein,0
1,permutation_seed=10,9.803018787053167,conv3,wasserstein,0
0,permutation_seed=10,0.0,pooled,wasserstein,0
1,permutation_seed=10,0.0,pooled,wasserstein,0
0,permutation_seed=11,7.459655858576298,conv1,wasserstein,0
1,permutation_seed=11,8.428088436454209,conv1,wasserstein,0
0,permutation_seed=11,9.625870257616043,conv2,wasserstein,0
1,permutation_seed=11,10.160488632337428,conv2,wasserstein,0
0,permutation_seed=11,29.934023663401604,conv3,wasserstein,0
1,permutation_seed=11,10.300451982136432,conv3,wasserstein,0
0,permutation_seed=11,0.0,pooled,wasserstein,0
1,permutation_seed=11,0.0,pooled,wasserstein,0
0,permutation_seed=12,10.185832373797894,conv1,wasserstein,0
1,permutation_seed=12,8.966356978071415,conv1,wasserstein,0
0,permutation_seed=12,12.15413083513488,conv2,wasserstein,0
1,permutation_seed=12,11.657629336990615,conv2,wasserstein,0
0,permutation_seed=12,17.055577176668088,conv3,wasserstein,0
1,permutation_seed=12,10.993494702731608,conv3,wasserstein,0
0,permutation_seed=12,0.0,pooled,wasserstein,0
1,permutation_seed=12,0.0,pooled,wasserstein,0
0,permutation_seed=13,17.778491161763668,conv1,wasserstein,0
1,permutation_seed=13,9.715888443135215,conv1,wasserstein,0
0,permutation_seed=13,13.564762374306953,conv2,wasserstein,0
1,permutation_seed=13,12.497542005064556,conv2,wasserstein,0
0,permutation_seed=13,36.287806674838066,conv3,wasserstein,0
1,permutation_seed=13,11.33399760056184,conv3,wasserstein,0
