betti,condition,count,layer,max_persistence,mean_persistence,sample_id,total_persistence
H0,adv_fgsm_l2_eps=0.2,149.0,conv2,1.891151785850525,0.9925276123037274,1,147.8866142332554
H1,adv_fgsm_l2_eps=0.2,47.0,conv2,1.9469585418701172,0.3918783575930494,1,18.41828280687332
H0,adv_fgsm_l2_eps=0.2,149.0,conv3,3.3018250465393066,1.5624771440189156,1,232.80909445881844
H1,adv_fgsm_l2_eps=0.2,48.0,conv3,3.0184414386749268,0.516943134367466,1,24.813270449638367
H0,adv_fgsm_l2_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H1,adv_fgsm_l2_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H0,adv_fgsm_l2_eps=0.4,149.0,input,1.057329773902893,0.48512278397211295,1,72.28329481184483
H1,adv_fgsm_l2_eps=0.4,55.0,input,1.0362990498542786,0.20315609628503972,1,11.173585295677185
H0,adv_fgsm_l2_eps=0.4,149.0,conv1,1.6371819972991943,0.7354097898374468,1,109.57605868577957
H1,adv_fgsm_l2_eps=0.4,50.0,conv1,1.2651759386062622,0.2683959639072418,1,13.419798195362091
H0,adv_fgsm_l2_eps=0.4,149.0,conv2,1.891151785850525,0.9925276123037274,1,147.8866142332554
H1,adv_fgsm_l2_eps=0.4,47.0,conv2,1.9469585418701172,0.3918783575930494,1,18.41828280687332
H0,adv_fgsm_l2_eps=0.4,149.0,conv3,3.3018250465393066,1.5624771440189156,1,232.80909445881844
H1,adv_fgsm_l2_eps=0.4,48.0,conv3,3.0184414386749268,0.516943134367466,1,24.813270449638367
H0,adv_fgsm_l2_eps=0.4,0.0,pooled,0.0,0.0,1,0.0
H1,adv_fgsm_l2_eps=0.4,0.0,pooled,0.0,0.0,1,0.0
H0,adv_cw_l2_eps=0.2,149.0,input,1.057329773902893,0.48512278397211295,1,72.28329481184483
H1,adv_cw_l2_eps=0.2,55.0,input,1.0362990498542786,0.20315609628503972,1,11.173585295677185
H0,adv_cw_l2_eps=0.2,149.0,conv1,1.6371819972991943,0.7354097898374468,1,109.57605868577957
H1,adv_cw_l2_eps=0.2,50.0,conv1,1.2651759386062622,0.2683959639072418,1,13.419798195362091
H0,adv_cw_l2_eps=0.2,149.0,conv2,1.891151785850525,0.9925276123037274,1,147.8866142332554
H1,adv_cw_l2_eps=0.2,47.0,conv2,1.9469585418701172,0.3918783575930494,1,18.41828280687332
H0,adv_cw_l2_eps=0.2,149.0,conv3,3.3018250465393066,1.5624771440189156,1,232.80909445881844
H1,adv_cw_l2_eps=0.2,48.0,conv3,3.0184414386749268,0.516943134367466,1,24.813270449638367
H0,adv_cw_l2_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H1,adv_cw_l2_eps=0.2,0.0,pooled,0.0,0.0,1,0.0
H0,adv_cw_l2_eps=0.4,149.0,input,1.057329773902893,0.48512278397211295,1,72.28329481184483
H1,adv_cw_l2_eps=0.4,55.0,input,1.0362990498542786,0.20315609628503972,1,11.173585295677185
H0,adv_cw_l2_eps=0.4,149.0,conv1,1.6371819972991943,0.7354097898374468,1,109.57605868577957
H1,adv_cw_l2_eps=0.4,50.0,conv1,1.2651759386062622,0.2683959639072418,1,13.419798195362091
