Dataset,Feature,Clean Mean,Adv Mean,Cohen's d,|d|
MNIST,topo_h0_count,113.0,113.0,0.0,0.0
MNIST,topo_h0_max_persistence,2.282662291228771,3.6966095742583276,2.2073708736264823,2.2073708736264823
MNIST,topo_h0_total_persistence,166.46163679011167,237.17676498040558,1.629546665201529,1.629546665201529
MNIST,topo_h0_l2_persistence,15.92828480885154,23.010204117415718,1.7265035572773288,1.7265035572773288
MNIST,topo_h0_entropy,4.709878931673691,4.6945917063017,-1.034628025656765,1.034628025656765
MNIST,topo_h1_count,85.0375,70.71,-1.2342307619349369,1.2342307619349369
MNIST,topo_h1_max_persistence,0.43953403502702715,0.692734914124012,1.5101162518181837,1.5101162518181837
MNIST,topo_h1_total_persistence,10.956841698884965,13.168617650121451,0.6448579664922788,0.6448579664922788
MNIST,topo_h1_l2_persistence,1.5039982247343995,2.020844430495858,1.1601756304669073,1.1601756304669073
MNIST,topo_h1_entropy,4.123908661199581,3.919429171275526,-1.1983661287178087,1.1983661287178087
Synthetic Shapes,topo_h0_count,68.0,68.0,0.0,0.0
Synthetic Shapes,topo_h0_max_persistence,0.23399240175262093,6.658295052349567,1.9998104783790276,1.9998104783790276
Synthetic Shapes,topo_h0_total_persistence,4.697066432647407,10.178071716865524,2.001421119643683,2.001421119643683
Synthetic Shapes,topo_h0_l2_persistence,0.67025405164967,6.789911147862598,1.9676943050570086,1.9676943050570086
Synthetic Shapes,topo_h0_entropy,4.058928825646287,2.211755252820252,-2.2481084075996907,2.2481084075996907
Synthetic Shapes,topo_h1_count,9.51,0.465,-2.0599776960194482,2.0599776960194482
Synthetic Shapes,topo_h1_max_persistence,0.04333254663273692,0.007287951279431581,-1.7117767495254275,1.7117767495254275
Synthetic Shapes,topo_h1_total_persistence,0.17272617601789533,0.007287951279431581,-1.6010215246243829,1.6010215246243829
Synthetic Shapes,topo_h1_l2_persistence,0.06586124518447425,0.007287951279431581,-1.714871485341865,1.714871485341865
Synthetic Shapes,topo_h1_entropy,1.5754921433666147,0.0,-2.6081165368990598,2.6081165368990598
Torus (1 hole),topo_h0_count,87.0,87.0,0.0,0.0
Torus (1 hole),topo_h0_max_persistence,2.4416320184866587,2.993779182434082,1.172906452265128,1.172906452265128
Torus (1 hole),topo_h0_total_persistence,92.0208915947626,80.55754297971725,-0.9128583146281677,0.9128583146281677
Torus (1 hole),topo_h0_l2_persistence,10.85964331246905,9.955597849752332,-0.5868441801121674,0.5868441801121674
Torus (1 hole),topo_h0_entropy,4.36042498064709,4.322887698063332,-2.351279176523587,2.351279176523587
Torus (1 hole),topo_h1_count,21.679166666666667,14.0,-2.4613283029865607,2.4613283029865607
Torus (1 hole),topo_h1_max_persistence,1.1634911532203356,0.6754412651062012,-1.6458878962641224,1.6458878962641224
Torus (1 hole),topo_h1_total_persistence,6.8872528774042925,1.9342047572135925,-3.0053858729368046,3.0053858729368046
Torus (1 hole),topo_h1_l2_persistence,2.0402434994158303,0.7915401711514927,-3.061034836478386,3.061034836478386
Torus (1 hole),topo_h1_entropy,2.6423190825128073,2.1582018175541724,-2.6312603527405503,2.6312603527405503
Torus (2 holes),topo_h0_count,54.0,54.0,0.0,0.0
Torus (2 holes),topo_h0_max_persistence,2.3406828557451567,3.520956039428711,2.9240340770800235,2.9240340770800235
Torus (2 holes),topo_h0_total_persistence,59.878729868897544,82.39173656702042,3.1079971541970393,3.1079971541970393
Torus (2 holes),topo_h0_l2_persistence,8.895000775016248,12.11965194628626,3.0118106984729125,3.0118106984729125
Torus (2 holes),topo_h0_entropy,3.8910809620961846,3.909989216516933,1.0056132941058646,1.0056132941058646
Torus (2 holes),topo_h1_count,12.075,10.0,-1.3641122508527894,1.3641122508527894
