betti,condition,count,layer,max_persistence,mean_persistence,sample_id,total_persistence
H0,adv_l2_eps=0.4,199.0,fc2,1.8403570652008057,0.8292082386400232,2,165.01243948936462
H1,adv_l2_eps=0.4,75.0,fc2,1.603452205657959,0.31625653982162477,2,23.719240486621857
H0,adv_l2_eps=0.4,199.0,fc3,2.834303617477417,1.2774400012427238,2,254.21056024730206
H1,adv_l2_eps=0.4,60.0,fc3,2.801103353500366,0.514456930756569,2,30.867415845394135
H0,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,2,0.0
H1,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,2,0.0
H0,adv_linf_eps=0.2,199.0,input,0.36418986320495605,0.17078544682912042,3,33.98630391899496
H1,adv_linf_eps=0.2,71.0,input,0.2825695872306824,0.0645861262062066,3,4.585614960640669
H0,adv_linf_eps=0.2,199.0,fc1,0.4837365746498108,0.2261482532412263,3,45.003502395004034
H1,adv_linf_eps=0.2,69.0,fc1,0.532050609588623,0.08493604813364969,3,5.8605873212218285
H0,adv_linf_eps=0.2,199.0,fc2,0.746597170829773,0.27130683683720064,3,53.99006053060293
H1,adv_linf_eps=0.2,52.0,fc2,0.6769217252731323,0.11267379499398746,3,5.859037339687347
H0,adv_linf_eps=0.2,199.0,fc3,1.280189871788025,0.3557717402713682,3,70.79857631400228
H1,adv_linf_eps=0.2,47.0,fc3,0.546465277671814,0.13138200247541387,3,6.174954116344452
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,3,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,3,0.0
H0,adv_linf_eps=0.4,199.0,input,0.36418986320495605,0.17078544682912042,3,33.98630391899496
H1,adv_linf_eps=0.4,71.0,input,0.2825695872306824,0.0645861262062066,3,4.585614960640669
H0,adv_linf_eps=0.4,199.0,fc1,0.4837365746498108,0.2261482532412263,3,45.003502395004034
H1,adv_linf_eps=0.4,69.0,fc1,0.532050609588623,0.08493604813364969,3,5.8605873212218285
H0,adv_linf_eps=0.4,199.0,fc2,0.746597170829773,0.27130683683720064,3,53.99006053060293
H1,adv_linf_eps=0.4,52.0,fc2,0.6769217252731323,0.11267379499398746,3,5.859037339687347
H0,adv_linf_eps=0.4,199.0,fc3,1.280189871788025,0.3557717402713682,3,70.79857631400228
H1,adv_linf_eps=0.4,47.0,fc3,0.546465277671814,0.13138200247541387,3,6.174954116344452
H0,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,3,0.0
H1,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,3,0.0
H0,adv_l2_eps=0.2,199.0,input,0.36418986320495605,0.17078544682912042,3,33.98630391899496
H1,adv_l2_eps=0.2,71.0,input,0.2825695872306824,0.0645861262062066,3,4.585614960640669
H0,adv_l2_eps=0.2,199.0,fc1,0.4837365746498108,0.2261482532412263,3,45.003502395004034
H1,adv_l2_eps=0.2,69.0,fc1,0.532050609588623,0.08493604813364969,3,5.8605873212218285
