threshold,tp,fp,tn,fn,tpr,fpr,precision,recall,f1
0.00010973541795904703,240,240,0,0,1.0,1.0,0.5,1.0,0.6666666666666666
0.0058241626458129135,240,239,1,0,1.0,0.9958333333333333,0.5010438413361169,1.0,0.6675938803894298
0.00974102014308643,240,238,2,0,1.0,0.9916666666666667,0.502092050209205,1.0,0.6685236768802229
0.01088796913841668,240,237,3,0,1.0,0.9875,0.5031446540880503,1.0,0.6694560669456067
0.011733008047249817,240,236,4,0,1.0,0.9833333333333333,0.5042016806722689,1.0,0.6703910614525139
0.01262672050251159,240,235,5,0,1.0,0.9791666666666666,0.5052631578947369,1.0,0.6713286713286714
0.012826643884833401,240,234,6,0,1.0,0.975,0.5063291139240507,1.0,0.6722689075630253
0.014106345364394807,240,233,7,0,1.0,0.9708333333333333,0.507399577167019,1.0,0.6732117812061711
0.0145468324060837,240,232,8,0,1.0,0.9666666666666667,0.5084745762711864,1.0,0.6741573033707865
0.01728700683318549,240,231,9,0,1.0,0.9625,0.5095541401273885,1.0,0.6751054852320675
0.01919579103791404,240,230,10,0,1.0,0.9583333333333334,0.5106382978723404,1.0,0.676056338028169
0.020410765492387604,240,229,11,0,1.0,0.9541666666666667,0.511727078891258,1.0,0.6770098730606487
0.020706245874541174,240,228,12,0,1.0,0.95,0.5128205128205128,1.0,0.6779661016949152
0.022665287004481966,240,227,13,0,1.0,0.9458333333333333,0.5139186295503212,1.0,0.6789250353606789
0.023445280530459123,240,226,14,0,1.0,0.9416666666666667,0.5150214592274678,1.0,0.6798866855524079
0.024563061834710742,240,225,15,0,1.0,0.9375,0.5161290322580645,1.0,0.6808510638297872
0.024962870694629137,239,225,15,1,0.9958333333333333,0.9375,0.5150862068965517,0.9958333333333333,0.6789772727272727
0.02592401380507386,239,224,16,1,0.9958333333333333,0.9333333333333333,0.5161987041036717,0.9958333333333333,0.6799431009957326
0.027147332433606234,239,223,17,1,0.9958333333333333,0.9291666666666667,0.5173160173160173,0.9958333333333333,0.6809116809116809
0.03104408601705444,238,223,17,2,0.9916666666666667,0.9291666666666667,0.5162689804772235,0.9916666666666667,0.6790299572039943
0.03537059347613866,238,222,18,2,0.9916666666666667,0.925,0.5173913043478261,0.9916666666666667,0.68
0.04065629134353439,237,222,18,3,0.9875,0.925,0.5163398692810458,0.9875,0.6781115879828327
0.04166473100199923,237,221,19,3,0.9875,0.9208333333333333,0.517467248908297,0.9875,0.6790830945558739
0.04178172745587895,236,221,19,4,0.9833333333333333,0.9208333333333333,0.5164113785557987,0.9833333333333333,0.6771879483500718
0.04302430655775109,236,220,20,4,0.9833333333333333,0.9166666666666666,0.5175438596491229,0.9833333333333333,0.6781609195402298
0.049344912515895685,235,220,20,5,0.9791666666666666,0.9166666666666666,0.5164835164835165,0.9791666666666666,0.6762589928057554
0.0555080823939452,235,219,21,5,0.9791666666666666,0.9125,0.5176211453744494,0.9791666666666666,0.6772334293948127
0.058068203017505794,234,219,21,6,0.975,0.9125,0.5165562913907285,0.975,0.6753246753246753
0.06294658983557214,234,218,22,6,0.975,0.9083333333333333,0.5176991150442478,0.975,0.6763005780346821
0.06602335510257526,233,218,22,7,0.9708333333333333,0.9083333333333333,0.516629711751663,0.9708333333333333,0.6743849493487699
0.06625796985930067,233,217,23,7,0.9708333333333333,0.9041666666666667,0.5177777777777778,0.9708333333333333,0.6753623188405797
0.0691984576384957,233,216,24,7,0.9708333333333333,0.9,0.5189309576837416,0.9708333333333333,0.6763425253991292
0.07117618381015069,233,215,25,7,0.9708333333333333,0.8958333333333334,0.5200892857142857,0.9708333333333333,0.6773255813953488
0.07272837003491243,233,214,26,7,0.9708333333333333,0.8916666666666667,0.5212527964205816,0.9708333333333333,0.6783114992721979
0.07809506166885796,233,213,27,7,0.9708333333333333,0.8875,0.5224215246636771,0.9708333333333333,0.6793002915451894
0.08639857935702462,233,212,28,7,0.9708333333333333,0.8833333333333333,0.5235955056179775,0.9708333333333333,0.6802919708029197
0.0872099846422805,233,211,29,7,0.9708333333333333,0.8791666666666667,0.5247747747747747,0.9708333333333333,0.6812865497076024
0.09091157435041068,232,211,29,8,0.9666666666666667,0.8791666666666667,0.5237020316027088,0.9666666666666667,0.6793557833089312
0.09349236583841337,231,211,29,9,0.9625,0.8791666666666667,0.5226244343891403,0.9625,0.6774193548387096
0.09483094737335994,230,211,29,10,0.9583333333333334,0.8791666666666667,0.5215419501133787,0.9583333333333334,0.6754772393538914
0.10016320396288254,230,210,30,10,0.9583333333333334,0.875,0.5227272727272727,0.9583333333333334,0.6764705882352942
0.10205599833013522,229,210,30,11,0.9541666666666667,0.875,0.5216400911161732,0.9541666666666667,0.6745213549337261
0.10421258571070743,229,209,31,11,0.9541666666666667,0.8708333333333333,0.5228310502283106,0.9541666666666667,0.6755162241887905
0.10932692908346223,229,208,32,11,0.9541666666666667,0.8666666666666667,0.5240274599542334,0.9541666666666667,0.6765140324963073
0.11408303547826308,228,208,32,12,0.95,0.8666666666666667,0.5229357798165137,0.95,0.6745562130177515
0.11464451293267475,228,207,33,12,0.95,0.8625,0.5241379310344828,0.95,0.6755555555555556
0.11607344242944517,228,206,34,12,0.95,0.8583333333333333,0.5253456221198156,0.95,0.6765578635014837
0.12251544397334677,227,206,34,13,0.9458333333333333,0.8583333333333333,0.5242494226327945,0.9458333333333333,0.674591381872214
0.12384905373413135,227,205,35,13,0.9458333333333333,0.8541666666666666,0.5254629629629629,0.9458333333333333,0.6755952380952381
0.1254955120315624,227,204,36,13,0.9458333333333333,0.85,0.5266821345707656,0.9458333333333333,0.676602086438152
0.12652884030385408,226,204,36,14,0.9416666666666667,0.85,0.5255813953488372,0.9416666666666667,0.6746268656716418
0.13105460967431687,226,203,37,14,0.9416666666666667,0.8458333333333333,0.5268065268065268,0.9416666666666667,0.6756352765321375
0.13204967169745555,226,202,38,14,0.9416666666666667,0.8416666666666667,0.5280373831775701,0.9416666666666667,0.6766467065868264
0.1364333464128186,226,201,39,14,0.9416666666666667,0.8375,0.5292740046838408,0.9416666666666667,0.6776611694152923
