H,condition,distance,layer,metric,sample_id
0,permutation_seed=1,12.312452202481884,fc1,wasserstein,0
1,permutation_seed=1,12.029324204717556,fc1,wasserstein,0
0,permutation_seed=1,21.442816138267517,fc2,wasserstein,0
1,permutation_seed=1,10.8591414399759,fc2,wasserstein,0
0,permutation_seed=1,38.920573910842805,fc3,wasserstein,0
1,permutation_seed=1,10.180182723360755,fc3,wasserstein,0
0,permutation_seed=1,0.0,pooled,wasserstein,0
1,permutation_seed=1,0.0,pooled,wasserstein,0
0,permutation_seed=2,7.733792468905449,fc1,wasserstein,0
1,permutation_seed=2,8.662953311154917,fc1,wasserstein,0
0,permutation_seed=2,18.929191447794437,fc2,wasserstein,0
1,permutation_seed=2,12.149412982438124,fc2,wasserstein,0
0,permutation_seed=2,19.609415464103222,fc3,wasserstein,0
1,permutation_seed=2,11.993895070038116,fc3,wasserstein,0
0,permutation_seed=2,0.0,pooled,wasserstein,0
1,permutation_seed=2,0.0,pooled,wasserstein,0
0,permutation_seed=3,7.3373745158314705,fc1,wasserstein,0
1,permutation_seed=3,8.957733300012398,fc1,wasserstein,0
0,permutation_seed=3,19.721899123268834,fc2,wasserstein,0
1,permutation_seed=3,13.060876256215913,fc2,wasserstein,0
0,permutation_seed=3,25.269884488416487,fc3,wasserstein,0
1,permutation_seed=3,8.609287679069006,fc3,wasserstein,0
0,permutation_seed=3,0.0,pooled,wasserstein,0
1,permutation_seed=3,0.0,pooled,wasserstein,0
0,permutation_seed=4,10.410143673419952,fc1,wasserstein,0
1,permutation_seed=4,10.940958141999321,fc1,wasserstein,0
0,permutation_seed=4,20.87227338960749,fc2,wasserstein,0
1,permutation_seed=4,11.246856798295452,fc2,wasserstein,0
0,permutation_seed=4,35.79980444908142,fc3,wasserstein,0
1,permutation_seed=4,12.153526834550735,fc3,wasserstein,0
0,permutation_seed=4,0.0,pooled,wasserstein,0
1,permutation_seed=4,0.0,pooled,wasserstein,0
0,permutation_seed=5,14.806814290583134,fc1,wasserstein,0
1,permutation_seed=5,11.24745029205133,fc1,wasserstein,0
0,permutation_seed=5,17.783604356559948,fc2,wasserstein,0
1,permutation_seed=5,11.639803903653279,fc2,wasserstein,0
0,permutation_seed=5,31.127145871520042,fc3,wasserstein,0
1,permutation_seed=5,10.979359964272495,fc3,wasserstein,0
0,permutation_seed=5,0.0,pooled,wasserstein,0
1,permutation_seed=5,0.0,pooled,wasserstein,0
0,permutation_seed=6,7.896797500550747,fc1,wasserstein,0
1,permutation_seed=6,8.55281627207949,fc1,wasserstein,0
0,permutation_seed=6,11.581229954957962,fc2,wasserstein,0
1,permutation_seed=6,12.08148132237718,fc2,wasserstein,0
0,permutation_seed=6,20.467986658215523,fc3,wasserstein,0
1,permutation_seed=6,12.819958304645553,fc3,wasserstein,0
0,permutation_seed=6,0.0,pooled,wasserstein,0
1,permutation_seed=6,0.0,pooled,wasserstein,0
0,permutation_seed=7,9.214267082512379,fc1,wasserstein,0
1,permutation_seed=7,8.289880807680511,fc1,wasserstein,0
0,permutation_seed=7,14.312850549817085,fc2,wasserstein,0
1,permutation_seed=7,10.42267087385316,fc2,wasserstein,0
0,permutation_seed=7,19.73313795030117,fc3,wasserstein,0
1,permutation_seed=7,12.600639894722102,fc3,wasserstein,0
0,permutation_seed=7,0.0,pooled,wasserstein,0
1,permutation_seed=7,0.0,pooled,wasserstein,0
0,permutation_seed=8,14.630923841494672,fc1,wasserstein,0
1,permutation_seed=8,9.158903323829325,fc1,wasserstein,0
0,permutation_seed=8,12.880328357219696,fc2,wasserstein,0
1,permutation_seed=8,12.346015395939943,fc2,wasserstein,0
0,permutation_seed=8,38.90975941230352,fc3,wasserstein,0
1,permutation_seed=8,11.473781799450009,fc3,wasserstein,0
0,permutation_seed=8,0.0,pooled,wasserstein,0
1,permutation_seed=8,0.0,pooled,wasserstein,0
0,permutation_seed=9,10.403595403179507,fc1,wasserstein,0
1,permutation_seed=9,7.979097271080308,fc1,wasserstein,0
0,permutation_seed=9,11.529234826564789,fc2,wasserstein,0
1,permutation_seed=9,16.082229108521652,fc2,wasserstein,0
0,permutation_seed=9,26.31319096684456,fc3,wasserstein,0
1,permutation_seed=9,10.546026122350298,fc3,wasserstein,0
0,permutation_seed=9,0.0,pooled,wasserstein,0
1,permutation_seed=9,0.0,pooled,wasserstein,0
0,permutation_seed=10,8.430548607403955,fc1,wasserstein,0
1,permutation_seed=10,9.353408227504222,fc1,wasserstein,0
0,permutation_seed=10,27.68512058049093,fc2,wasserstein,0
1,permutation_seed=10,10.845707974325885,fc2,wasserstein,0
0,permutation_seed=10,26.906155490517747,fc3,wasserstein,0
1,permutation_seed=10,9.60226851712575,fc3,wasserstein,0
0,permutation_seed=10,0.0,pooled,wasserstein,0
1,permutation_seed=10,0.0,pooled,wasserstein,0
0,permutation_seed=11,7.462557636201382,fc1,wasserstein,0
1,permutation_seed=11,8.422416122389462,fc1,wasserstein,0
0,permutation_seed=11,9.58741508424282,fc2,wasserstein,0
1,permutation_seed=11,10.144294119021007,fc2,wasserstein,0
0,permutation_seed=11,30.004920035600662,fc3,wasserstein,0
1,permutation_seed=11,10.344036273575819,fc3,wasserstein,0
0,permutation_seed=11,0.0,pooled,wasserstein,0
1,permutation_seed=11,0.0,pooled,wasserstein,0
0,permutation_seed=12,10.183776445686817,fc1,wasserstein,0
1,permutation_seed=12,8.965816930936313,fc1,wasserstein,0
0,permutation_seed=12,12.163567178641909,fc2,wasserstein,0
1,permutation_seed=12,11.629576749166372,fc2,wasserstein,0
0,permutation_seed=12,17.3834789481836,fc3,wasserstein,0
1,permutation_seed=12,10.654219951448507,fc3,wasserstein,0
0,permutation_seed=12,0.0,pooled,wasserstein,0
1,permutation_seed=12,0.0,pooled,wasserstein,0
0,permutation_seed=13,17.78157076239586,fc1,wasserstein,0
1,permutation_seed=13,9.712360478287737,fc1,wasserstein,0
0,permutation_seed=13,13.542253921240103,fc2,wasserstein,0
1,permutation_seed=13,12.424942875438669,fc2,wasserstein,0
0,permutation_seed=13,36.17278200387955,fc3,wasserstein,0
1,permutation_seed=13,11.520151408183308,fc3,wasserstein,0
0,permutation_seed=13,0.0,pooled,wasserstein,0
1,permutation_seed=13,0.0,pooled,wasserstein,0
0,permutation_seed=14,15.023823016092544,fc1,wasserstein,0
1,permutation_seed=14,10.484368764762614,fc1,wasserstein,0
0,permutation_seed=14,14.952375084161758,fc2,wasserstein,0
1,permutation_seed=14,12.73032322325575,fc2,wasserstein,0
0,permutation_seed=14,28.98524458706379,fc3,wasserstein,0
1,permutation_seed=14,11.459665331714648,fc3,wasserstein,0
0,permutation_seed=14,0.0,pooled,wasserstein,0
1,permutation_seed=14,0.0,pooled,wasserstein,0
0,permutation_seed=15,12.265545807778835,fc1,wasserstein,0
1,permutation_seed=15,9.915080702976306,fc1,wasserstein,0
