condition,layer,homology,mean_wasserstein,std_wasserstein,n
permutation_seed=0,fc1,H1,7.565584897375681,4.494161787129392,80
permutation_seed=0,fc2,H0,14.133638686125554,5.130966075955589,80
permutation_seed=0,fc2,H1,10.740328077973384,6.329454228700569,80
permutation_seed=0,fc3,H0,22.68283618346901,8.944061038643929,80
permutation_seed=0,fc3,H1,10.270522109055246,4.926275879814846,80
permutation_seed=0,pooled,H0,0.0,0.0,80
permutation_seed=0,pooled,H1,0.0,0.0,80
permutation_seed=1,fc1,H0,8.497196930967803,3.8596703078422343,80
permutation_seed=1,fc1,H1,7.2513014712768165,4.313926905421128,80
permutation_seed=1,fc2,H0,14.957434071180524,5.335991394749377,80
permutation_seed=1,fc2,H1,10.713115677023891,6.138224118267829,80
permutation_seed=1,fc3,H0,23.516352302030544,10.373840816673129,80
permutation_seed=1,fc3,H1,10.243545243206317,5.02540843541744,80
permutation_seed=1,pooled,H0,0.0,0.0,80
permutation_seed=1,pooled,H1,0.0,0.0,80
permutation_seed=10,fc1,H0,9.059150888477749,4.152713078008918,80
permutation_seed=10,fc1,H1,7.7363058311010775,4.730744259928355,80
permutation_seed=10,fc2,H0,14.994215171677231,7.047998534486518,80
permutation_seed=10,fc2,H1,10.625123567732707,6.127034249375593,80
permutation_seed=10,fc3,H0,22.61122071707492,9.738176625852736,80
permutation_seed=10,fc3,H1,10.168204948407235,4.7523344075917535,80
permutation_seed=10,pooled,H0,0.0,0.0,80
permutation_seed=10,pooled,H1,0.0,0.0,80
permutation_seed=11,fc1,H0,8.930578026019681,3.9459021623878305,80
permutation_seed=11,fc1,H1,7.3710581852052925,4.355821130690238,80
permutation_seed=11,fc2,H0,15.459556574518952,6.169862687722464,80
permutation_seed=11,fc2,H1,10.392840594492261,5.936094558160477,80
permutation_seed=11,fc3,H0,22.750133551005142,10.584345296342288,80
permutation_seed=11,fc3,H1,10.399420154489622,5.0304935220772755,80
permutation_seed=11,pooled,H0,0.0,0.0,80
permutation_seed=11,pooled,H1,0.0,0.0,80
permutation_seed=12,fc1,H0,9.475500119723902,4.2055498704712635,80
permutation_seed=12,fc1,H1,7.615513805284346,4.623836931001427,80
permutation_seed=12,fc2,H0,15.84633880018273,6.162501537060469,80
permutation_seed=12,fc2,H1,10.472264531166438,6.0377994763590275,80
permutation_seed=12,fc3,H0,22.98294956023428,11.115881886040588,80
permutation_seed=12,fc3,H1,10.149359419243348,4.821741638273744,80
permutation_seed=12,pooled,H0,0.0,0.0,80
permutation_seed=12,pooled,H1,0.0,0.0,80
permutation_seed=13,fc1,H0,9.153295794308994,3.9617046408512158,80
permutation_seed=13,fc1,H1,7.670134237402896,4.561033794805783,80
permutation_seed=13,fc2,H0,14.131272070718163,5.4932459417275235,80
permutation_seed=13,fc2,H1,10.325758877603267,5.8386055282369975,80
permutation_seed=13,fc3,H0,22.887301399962166,10.589335156058084,80
permutation_seed=13,fc3,H1,10.064009394411318,4.58467096588674,80
permutation_seed=13,pooled,H0,0.0,0.0,80
permutation_seed=13,pooled,H1,0.0,0.0,80
permutation_seed=14,fc1,H0,9.11532425480414,4.047558238368451,80
permutation_seed=14,fc1,H1,7.533189925310667,4.558437024456753,80
permutation_seed=14,fc2,H0,15.164743385017962,6.478702720635297,80
permutation_seed=14,fc2,H1,10.697289081226657,5.847147463224283,80
permutation_seed=14,fc3,H0,23.262245842452096,9.526823402960977,80
permutation_seed=14,fc3,H1,10.008340108818043,4.820794869965507,80
permutation_seed=14,pooled,H0,0.0,0.0,80
permutation_seed=14,pooled,H1,0.0,0.0,80
permutation_seed=15,fc1,H0,8.774482991738363,3.5656743939205295,80
permutation_seed=15,fc1,H1,7.285265667627813,4.249165613153132,80
permutation_seed=15,fc2,H0,14.636463428706023,5.56283395029077,80
permutation_seed=15,fc2,H1,10.662190311046853,5.925868242504968,80
permutation_seed=15,fc3,H0,22.969066357078397,10.254778397528625,80
permutation_seed=15,fc3,H1,9.981888171576703,4.691769775104754,80
permutation_seed=15,pooled,H0,0.0,0.0,80
permutation_seed=15,pooled,H1,0.0,0.0,80
permutation_seed=16,fc1,H0,9.27516368507344,4.268108015071726,80
permutation_seed=16,fc1,H1,7.559151955926649,4.559348242197665,80
permutation_seed=16,fc2,H0,15.965673701934318,7.236385016115233,80
permutation_seed=16,fc2,H1,10.732518126272687,5.968051769207019,80
permutation_seed=16,fc3,H0,22.664911580837213,8.66083662932422,80
permutation_seed=16,fc3,H1,10.102093586714375,4.834672118144419,80
permutation_seed=16,pooled,H0,0.0,0.0,80
permutation_seed=16,pooled,H1,0.0,0.0,80
permutation_seed=17,fc1,H0,9.348255968476147,4.265224672551942,80
permutation_seed=17,fc1,H1,7.40174827784319,4.432919409893077,80
permutation_seed=17,fc2,H0,14.94908910730356,6.140007881882815,80
permutation_seed=17,fc2,H1,10.693743091114243,5.840272412600523,80
permutation_seed=17,fc3,H0,22.801531611771413,8.64267999922256,80
permutation_seed=17,fc3,H1,10.508238540262559,5.020510332053919,80
permutation_seed=17,pooled,H0,0.0,0.0,80
permutation_seed=17,pooled,H1,0.0,0.0,80
permutation_seed=18,fc1,H0,8.97410213272657,3.9037931506363894,80
permutation_seed=18,fc1,H1,7.536594392430648,4.608801043233297,80
permutation_seed=18,fc2,H0,14.548377599972337,5.646117692987094,80
permutation_seed=18,fc2,H1,10.466922985970648,5.860957611815636,80
permutation_seed=18,fc3,H0,23.70461973028253,9.647125500395997,80
permutation_seed=18,fc3,H1,10.232405911423161,4.873531628859098,80
permutation_seed=18,pooled,H0,0.0,0.0,80
permutation_seed=18,pooled,H1,0.0,0.0,80
permutation_seed=19,fc1,H0,9.53095717445653,4.465547948827287,80
permutation_seed=19,fc1,H1,7.65628241237913,4.532568130133448,80
permutation_seed=19,fc2,H0,15.326657857927074,6.317871248390596,80
permutation_seed=19,fc2,H1,10.717012027110956,6.0079149303309665,80
permutation_seed=19,fc3,H0,24.372069633411193,10.387445506321932,80
permutation_seed=19,fc3,H1,10.29303222498228,4.9199946548590034,80
permutation_seed=19,pooled,H0,0.0,0.0,80
permutation_seed=19,pooled,H1,0.0,0.0,80
permutation_seed=2,fc1,H0,8.940895569855142,4.181232871085084,80
permutation_seed=2,fc1,H1,7.441941344897683,4.560077676787261,80
permutation_seed=2,fc2,H0,15.166185308574384,6.149226106937471,80
permutation_seed=2,fc2,H1,10.586253446963585,6.1219646706842274,80
permutation_seed=2,fc3,H0,23.302551871552193,8.57355347534967,80
permutation_seed=2,fc3,H1,10.112282079325919,4.8935844049673936,80
permutation_seed=2,pooled,H0,0.0,0.0,80
permutation_seed=2,pooled,H1,0.0,0.0,80
permutation_seed=20,fc1,H0,9.586491078346755,4.2456131778977255,80
permutation_seed=20,fc1,H1,7.677783356846457,4.494287635748157,80
permutation_seed=20,fc2,H0,14.904134164209822,5.858813595267605,80
permutation_seed=20,fc2,H1,10.22133159969301,5.843029841885877,80
permutation_seed=20,fc3,H0,21.76851164289251,8.617792549241376,80
permutation_seed=20,fc3,H1,10.042055568954542,4.7548180027549565,80
permutation_seed=20,pooled,H0,0.0,0.0,80
permutation_seed=20,pooled,H1,0.0,0.0,80
permutation_seed=21,fc1,H0,9.285843513646517,3.971510966044729,80
permutation_seed=21,fc1,H1,7.352612008713672,4.427658626087736,80
permutation_seed=21,fc2,H0,15.391191407219855,5.676409862647185,80
permutation_seed=21,fc2,H1,10.233319985058511,5.697865007597444,80
permutation_seed=21,fc3,H0,23.55668443181964,10.88193362839887,80
