threshold,tp,fp,tn,fn,tpr,fpr,precision,recall,f1
0.6227260679729864,240,240,0,0,1.0,1.0,0.5,1.0,0.6666666666666666
0.6492443444720588,240,239,1,0,1.0,0.9958333333333333,0.5010438413361169,1.0,0.6675938803894298
0.7187166362567584,240,238,2,0,1.0,0.9916666666666667,0.502092050209205,1.0,0.6685236768802229
0.7385805000721005,240,237,3,0,1.0,0.9875,0.5031446540880503,1.0,0.6694560669456067
0.7815669085404905,240,236,4,0,1.0,0.9833333333333333,0.5042016806722689,1.0,0.6703910614525139
0.7821451578466808,240,235,5,0,1.0,0.9791666666666666,0.5052631578947369,1.0,0.6713286713286714
0.7839794634515593,240,234,6,0,1.0,0.975,0.5063291139240507,1.0,0.6722689075630253
0.8065473145467119,239,234,6,1,0.9958333333333333,0.975,0.5052854122621564,0.9958333333333333,0.6704067321178121
0.8159090696703348,239,233,7,1,0.9958333333333333,0.9708333333333333,0.5063559322033898,0.9958333333333333,0.6713483146067416
0.8214273016722824,238,233,7,2,0.9916666666666667,0.9708333333333333,0.505307855626327,0.9916666666666667,0.6694796061884669
0.837261023873853,238,232,8,2,0.9916666666666667,0.9666666666666667,0.5063829787234042,0.9916666666666667,0.6704225352112676
0.8551406551812722,238,231,9,2,0.9916666666666667,0.9625,0.5074626865671642,0.9916666666666667,0.6713681241184767
0.8762832814062016,237,231,9,3,0.9875,0.9625,0.5064102564102564,0.9875,0.6694915254237288
0.8911192166770735,237,230,10,3,0.9875,0.9583333333333334,0.5074946466809421,0.9875,0.6704384724186704
0.9555059115190788,236,230,10,4,0.9833333333333333,0.9583333333333334,0.5064377682403434,0.9833333333333333,0.6685552407932012
0.9610762976556151,235,230,10,5,0.9791666666666666,0.9583333333333334,0.5053763440860215,0.9791666666666666,0.6666666666666666
0.9687504644193179,235,229,11,5,0.9791666666666666,0.9541666666666667,0.5064655172413793,0.9791666666666666,0.6676136363636364
0.97216686460272,235,228,12,5,0.9791666666666666,0.95,0.5075593952483801,0.9791666666666666,0.6685633001422475
0.9834403887799201,235,227,13,5,0.9791666666666666,0.9458333333333333,0.5086580086580087,0.9791666666666666,0.6695156695156695
1.0103957724675445,235,226,14,5,0.9791666666666666,0.9416666666666667,0.5097613882863341,0.9791666666666666,0.6704707560627675
1.0147680214894952,234,226,14,6,0.975,0.9416666666666667,0.508695652173913,0.975,0.6685714285714286
1.0150726051553995,234,225,15,6,0.975,0.9375,0.5098039215686274,0.975,0.6695278969957081
1.0594057153090186,233,225,15,7,0.9708333333333333,0.9375,0.5087336244541485,0.9708333333333333,0.667621776504298
1.0720037565417866,233,224,16,7,0.9708333333333333,0.9333333333333333,0.5098468271334792,0.9708333333333333,0.6685796269727403
1.084741860134011,232,224,16,8,0.9666666666666667,0.9333333333333333,0.5087719298245614,0.9666666666666667,0.6666666666666666
1.0867866066229095,231,224,16,9,0.9625,0.9333333333333333,0.5076923076923077,0.9625,0.6647482014388489
1.0950098374469392,231,223,17,9,0.9625,0.9291666666666667,0.5088105726872246,0.9625,0.6657060518731989
1.1021066785863072,231,222,18,9,0.9625,0.925,0.5099337748344371,0.9625,0.6666666666666666
1.1160002192580927,230,222,18,10,0.9583333333333334,0.925,0.5088495575221239,0.9583333333333334,0.6647398843930635
1.1236337757443806,230,221,19,10,0.9583333333333334,0.9208333333333333,0.5099778270509978,0.9583333333333334,0.6657018813314037
1.1290160509524017,229,221,19,11,0.9541666666666667,0.9208333333333333,0.5088888888888888,0.9541666666666667,0.663768115942029
1.1418101268097982,229,220,20,11,0.9541666666666667,0.9166666666666666,0.5100222717149221,0.9541666666666667,0.6647314949201741
1.1430550128012236,229,219,21,11,0.9541666666666667,0.9125,0.5111607142857143,0.9541666666666667,0.6656976744186046
1.1587004994359582,229,218,22,11,0.9541666666666667,0.9083333333333333,0.5123042505592841,0.9541666666666667,0.6666666666666666
1.1615443181513747,229,217,23,11,0.9541666666666667,0.9041666666666667,0.5134529147982063,0.9541666666666667,0.6676384839650146
1.174128060080304,228,217,23,12,0.95,0.9041666666666667,0.5123595505617977,0.95,0.6656934306569343
1.185771614823373,227,217,23,13,0.9458333333333333,0.9041666666666667,0.5112612612612613,0.9458333333333333,0.6637426900584795
1.1904587630422208,226,217,23,14,0.9416666666666667,0.9041666666666667,0.510158013544018,0.9416666666666667,0.6617862371888726
1.2232087385374193,226,216,24,14,0.9416666666666667,0.9,0.5113122171945701,0.9416666666666667,0.6627565982404692
1.2267428607047506,225,216,24,15,0.9375,0.9,0.5102040816326531,0.9375,0.6607929515418502
1.235891633166864,224,216,24,16,0.9333333333333333,0.9,0.509090909090909,0.9333333333333333,0.6588235294117647
1.24696462746672,224,215,25,16,0.9333333333333333,0.8958333333333334,0.510250569476082,0.9333333333333333,0.6597938144329897
1.2485920869960485,224,214,26,16,0.9333333333333333,0.8916666666666667,0.5114155251141552,0.9333333333333333,0.6607669616519174
1.2678888567914621,223,214,26,17,0.9291666666666667,0.8916666666666667,0.5102974828375286,0.9291666666666667,0.6587887740029542
1.2732098593687096,223,213,27,17,0.9291666666666667,0.8875,0.5114678899082569,0.9291666666666667,0.6597633136094675
1.2924363200935307,223,212,28,17,0.9291666666666667,0.8833333333333333,0.5126436781609195,0.9291666666666667,0.6607407407407407
1.2958038801192855,222,212,28,18,0.925,0.8833333333333333,0.511520737327189,0.925,0.658753709198813
1.304516575131349,222,211,29,18,0.925,0.8791666666666667,0.5127020785219399,0.925,0.6597325408618128
1.3069508488152275,222,210,30,18,0.925,0.875,0.5138888888888888,0.925,0.6607142857142857
1.315146765450871,221,210,30,19,0.9208333333333333,0.875,0.5127610208816705,0.9208333333333333,0.6587183308494784
1.3186145063457433,221,209,31,19,0.9208333333333333,0.8708333333333333,0.513953488372093,0.9208333333333333,0.6597014925373135
1.3191231785588795,220,209,31,20,0.9166666666666666,0.8708333333333333,0.5128205128205128,0.9166666666666666,0.6576980568011959
1.3277131839941294,219,209,31,21,0.9125,0.8708333333333333,0.5116822429906542,0.9125,0.655688622754491
1.3372726631714478,219,208,32,21,0.9125,0.8666666666666667,0.5128805620608899,0.9125,0.656671664167916
1.3382173358281004,218,208,32,22,0.9083333333333333,0.8666666666666667,0.5117370892018779,0.9083333333333333,0.6546546546546547
1.3420926267439208,217,208,32,23,0.9041666666666667,0.8666666666666667,0.5105882352941177,0.9041666666666667,0.6526315789473685
1.3501574699185468,216,208,32,24,0.9,0.8666666666666667,0.5094339622641509,0.9,0.6506024096385542
1.3536054154010466,215,208,32,25,0.8958333333333334,0.8666666666666667,0.508274231678487,0.8958333333333334,0.6485671191553545
1.3639999844051989,214,208,32,26,0.8916666666666667,0.8666666666666667,0.5071090047393365,0.8916666666666667,0.6465256797583081
1.3667607158956416,214,207,33,26,0.8916666666666667,0.8625,0.5083135391923991,0.8916666666666667,0.6475037821482602
1.372670255026117,214,206,34,26,0.8916666666666667,0.8583333333333333,0.5095238095238095,0.8916666666666667,0.6484848484848484
1.3839778338527482,214,205,35,26,0.8916666666666667,0.8541666666666666,0.5107398568019093,0.8916666666666667,0.6494688922610015
1.3850116708826186,214,204,36,26,0.8916666666666667,0.85,0.5119617224880383,0.8916666666666667,0.6504559270516718
1.387758749576846,213,204,36,27,0.8875,0.85,0.5107913669064749,0.8875,0.6484018264840182
1.3901353149255673,213,203,37,27,0.8875,0.8458333333333333,0.5120192307692307,0.8875,0.649390243902439
